Features: 16,,,,,,,,,,
Target Class: facesim,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.67611336,687
"Nu: 0.1, Gamma: 0.0001",231,110,0,12,68.83852691,0,40,,,
"Nu: 0.1, Gamma: 0.0002",231,110,0,12,68.83852691,0,40,,,
"Nu: 0.1, Gamma: 0.0003",231,113,0,9,67.98866856,0,40,,,
"Nu: 0.1, Gamma: 0.0004",231,113,0,9,67.98866856,0,40,,,
"Nu: 0.1, Gamma: 0.005",231,122,0,0,65.43909348,0,40,,,
"Nu: 0.1, Gamma: 0.05",230,122,1,0,65.15580737,0,40,,,
"Nu: 0.1, Gamma: 0.0625",230,122,1,0,65.15580737,0,40,,,
"Nu: 0.1, Gamma: 0.1",231,122,0,0,65.43909348,0,40,,,
"Nu: 0.1, Gamma: 0.2",231,122,0,0,65.43909348,0,40,,,
"Nu: 0.1, Gamma: 0.5",231,122,0,0,65.43909348,0,40,,,
"Nu: 0.1, Gamma: 0.7",231,122,0,0,65.43909348,0,40,,,
"Nu: 0.1, Gamma: 0.9",231,122,0,0,65.43909348,0,40,,,
"Nu: 0.1, Gamma: 0.99",231,122,0,0,65.43909348,0,40,,,
"Nu: 0.2, Gamma: 1e-05",230,86,1,36,75.35410765,0,40,,,
"Nu: 0.2, Gamma: 2e-05",230,96,1,26,72.52124646,0,40,,,
"Nu: 0.2, Gamma: 3e-05",230,99,1,23,71.6713881,0,40,,,
"Nu: 0.2, Gamma: 4e-05",230,103,1,19,70.53824363,0,40,,,
"Nu: 0.2, Gamma: 5e-05",231,106,0,16,69.97167139,0,40,,,
"Nu: 0.2, Gamma: 6e-05",230,106,1,16,69.68838527,0,40,,,
"Nu: 0.2, Gamma: 7e-05",231,108,0,14,69.40509915,0,40,,,
"Nu: 0.2, Gamma: 8e-05",231,109,0,13,69.12181303,0,40,,,
"Nu: 0.2, Gamma: 9e-05",230,109,1,13,68.83852691,0,40,,,
"Nu: 0.2, Gamma: 0.0001",230,110,1,12,68.55524079,0,40,,,
"Nu: 0.2, Gamma: 0.0002",231,110,0,12,68.83852691,0,40,,,
"Nu: 0.2, Gamma: 0.0003",230,112,1,10,67.98866856,0,40,,,
"Nu: 0.2, Gamma: 0.0004",230,113,1,9,67.70538244,0,40,,,
"Nu: 0.2, Gamma: 0.005",230,122,1,0,65.15580737,0,40,,,
"Nu: 0.2, Gamma: 0.05",230,122,1,0,65.15580737,0,40,,,
"Nu: 0.2, Gamma: 0.0625",230,122,1,0,65.15580737,0,40,,,
"Nu: 0.2, Gamma: 0.1",230,122,1,0,65.15580737,0,40,,,
"Nu: 0.2, Gamma: 0.2",230,122,1,0,65.15580737,0,40,,,
"Nu: 0.2, Gamma: 0.5",230,122,1,0,65.15580737,0,40,,,
"Nu: 0.2, Gamma: 0.7",230,122,1,0,65.15580737,0,40,,,
"Nu: 0.2, Gamma: 0.9",230,122,1,0,65.15580737,0,40,,,
"Nu: 0.2, Gamma: 0.99",230,122,1,0,65.15580737,0,40,,,
"Nu: 0.5, Gamma: 1e-05",231,87,0,35,75.35410765,0,40,,,
"Nu: 0.5, Gamma: 2e-05",231,96,0,26,72.80453258,0,40,,,
"Nu: 0.5, Gamma: 3e-05",231,99,0,23,71.95467422,0,40,,,
"Nu: 0.5, Gamma: 4e-05",231,103,0,19,70.82152975,0,40,,,
"Nu: 0.5, Gamma: 5e-05",231,106,0,16,69.97167139,0,40,,,
"Nu: 0.5, Gamma: 6e-05",230,106,1,16,69.68838527,0,40,,,
"Nu: 0.5, Gamma: 7e-05",230,108,1,14,69.12181303,0,40,,,
"Nu: 0.5, Gamma: 8e-05",231,109,0,13,69.12181303,0,40,,,
"Nu: 0.5, Gamma: 9e-05",230,109,1,13,68.83852691,0,40,,,
"Nu: 0.5, Gamma: 0.0001",230,110,1,12,68.55524079,0,40,,,
"Nu: 0.5, Gamma: 0.0002",230,110,1,12,68.55524079,0,40,,,
"Nu: 0.5, Gamma: 0.0003",230,112,1,10,67.98866856,0,40,,,
"Nu: 0.5, Gamma: 0.0004",230,113,1,9,67.70538244,0,40,,,
"Nu: 0.5, Gamma: 0.005",230,122,1,0,65.15580737,0,40,,,
