Features: 16,,,,,,,,
Target Class: swaptions,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.9, Gamma: 0.0625",1,2,0,43,95.65217391304348,10,40,
"Nu: 0.9, Gamma: 0.1",1,2,0,43,95.65217391304348,10,40,
"Nu: 0.9, Gamma: 0.2",1,2,0,43,95.65217391304348,10,40,
"Nu: 0.9, Gamma: 0.5",1,2,0,43,95.65217391304348,10,40,
"Nu: 0.9, Gamma: 0.7",1,2,0,43,95.65217391304348,10,40,
"Nu: 0.9, Gamma: 0.9",1,2,0,43,95.65217391304348,10,40,
"Nu: 0.9, Gamma: 0.99",1,2,0,43,95.65217391304348,10,40,
"Nu: 0.99, Gamma: 0.0001",0,3,0,43,93.47826086956522,10,40,
"Nu: 0.99, Gamma: 0.0002",0,3,0,43,93.47826086956522,10,40,
"Nu: 0.99, Gamma: 0.0003",0,3,0,43,93.47826086956522,10,40,
"Nu: 0.99, Gamma: 0.0004",0,3,0,43,93.47826086956522,10,40,
"Nu: 0.99, Gamma: 0.005",0,3,0,43,93.47826086956522,10,40,
"Nu: 0.99, Gamma: 0.05",1,2,0,43,95.65217391304348,10,40,
"Nu: 0.99, Gamma: 0.0625",1,2,0,43,95.65217391304348,10,40,
"Nu: 0.99, Gamma: 0.1",1,2,0,43,95.65217391304348,10,40,
"Nu: 0.99, Gamma: 0.2",1,2,0,43,95.65217391304348,10,40,
"Nu: 0.99, Gamma: 0.5",1,2,0,43,95.65217391304348,10,40,
"Nu: 0.99, Gamma: 0.7",1,2,0,43,95.65217391304348,10,40,
"Nu: 0.99, Gamma: 0.9",1,2,0,43,95.65217391304348,10,40,
"Nu: 0.99, Gamma: 0.99",1,2,0,43,95.65217391304348,10,40,
,,,,,,,,
